Regex,Name
(Dusky|@duskymusic),Dusky
(Yotto|@yottomusic),Yotto
(Patrice\sBäumel|Patric\sBaumel|@patricebaumel),Patrice Bäumel
(Easy\sLife|@easylifemusic),Easy Life
(Jan\sBlomqvist|@janblomqvist_),Jan Blomqvist
(U.S.\sGirls|US\sGirls|@yousgirls),U.S. Girls
(Iceage),Iceage
(Men\sI\sTrust|@menitrust),Men I Trust
(Charlotte\sde\sWitte),Charlotte de Witte
(Social\sHouse|@SocialHouseTC),Social House
(Ocho\sOjos|@ochoojos),Ocho Ojos
(Razorhumps),Razorhumps
(Tara\sBrooks|@TaraBrooksMusic),Tara Brooks
